epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
58,773.001,1.11812,0.58489,1.0108,0.91027,0.94605,0.97128,0.70176,1.17849,0.52151,1.02413,0.0016238,0.0016238,0.0016238
59,786.19,1.11273,0.58466,1.01009,0.93007,0.92872,0.97157,0.69631,1.20532,0.52292,1.04706,0.0016172,0.0016172,0.0016172
60,799.44,1.1294,0.59458,1.0072,0.92465,0.93471,0.97347,0.71315,1.12608,0.52028,1.0136,0.0016106,0.0016106,0.0016106
61,812.697,1.11045,0.5879,1.0156,0.90667,0.94394,0.97454,0.71049,1.23154,0.52681,1.05554,0.001604,0.001604,0.001604
62,825.808,1.10965,0.58332,1.01315,0.91794,0.9395,0.97416,0.71384,1.18443,0.51682,1.03222,0.0015974,0.0015974,0.0015974
63,838.774,1.10544,0.57951,1.0188,0.91738,0.94336,0.97094,0.72041,1.12334,0.49516,1.01085,0.0015908,0.0015908,0.0015908
64,852.033,1.10065,0.5748,1.00129,0.92034,0.94773,0.97221,0.71065,1.18555,0.50684,1.0364,0.0015842,0.0015842,0.0015842
65,865.175,1.10778,0.57596,1.00869,0.9176,0.95162,0.97373,0.70727,1.19458,0.52454,1.03777,0.0015776,0.0015776,0.0015776
66,878.406,1.0859,0.56612,0.99731,0.92095,0.94775,0.97587,0.71727,1.19849,0.50147,1.03088,0.001571,0.001571,0.001571
67,891.584,1.09929,0.57631,1.00961,0.91955,0.94727,0.96973,0.7083,1.16868,0.50719,1.01954,0.0015644,0.0015644,0.0015644
68,904.792,1.10316,0.57445,1.00729,0.92493,0.93457,0.97536,0.72444,1.11521,0.49524,1.009,0.0015578,0.0015578,0.0015578
69,918.218,1.12765,0.57799,1.01172,0.92715,0.93506,0.97555,0.70893,1.19154,0.5153,1.03711,0.0015512,0.0015512,0.0015512
70,931.284,1.08064,0.56255,1.00053,0.92958,0.93459,0.97225,0.71346,1.18759,0.5125,1.03337,0.0015446,0.0015446,0.0015446
71,944.604,1.13019,0.58464,1.01184,0.9229,0.94141,0.96994,0.70846,1.19644,0.50818,1.03666,0.001538,0.001538,0.001538
72,957.812,1.1106,0.57593,1.01435,0.92818,0.9402,0.97568,0.71673,1.17232,0.50551,1.02455,0.0015314,0.0015314,0.0015314
73,970.939,1.09382,0.56464,1.00892,0.92069,0.93945,0.97524,0.71299,1.16558,0.50382,1.02787,0.0015248,0.0015248,0.0015248
74,984.027,1.11305,0.56722,1.00614,0.91526,0.94929,0.97222,0.72449,1.12331,0.50019,1.00703,0.0015182,0.0015182,0.0015182
75,997.174,1.10945,0.5804,1.00898,0.92052,0.94445,0.97572,0.72231,1.13661,0.49964,1.02075,0.0015116,0.0015116,0.0015116
